,housing_001,housing_002,housing_003,housing_004,housing_005,transportation_001,transportation_002,transportation_003,transportation_004,transportation_005,environment_001,environment_002,environment_003,environment_004,environment_005,budget_001,budget_002,budget_003,budget_004,budget_005,public_safety_001,public_safety_002,public_safety_003,public_safety_004,public_safety_005,education_001,education_002,education_003,education_004,education_005,governance_001,governance_002,governance_003,governance_004,governance_005,development_001,development_002,development_003,development_004,development_005,community_001,community_002,community_003,community_004,community_005,housing_006,transportation_006,environment_006,budget_006,public_safety_006,education_006,governance_006,development_006,community_006
Housing Champion,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Slow Growth Advocate,-1.0,1.0,2.0,-1.0,2.0,0.0,0.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,2.0,1.0,1.0,-2.0,1.0,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,-1.0,1.0,-1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-2.0,1.0
Market Urbanist,1.0,-2.0,-1.0,2.0,-2.0,0.0,1.0,2.0,1.0,1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,-2.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0
Transit Advocate,2.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,1.0,1.0,1.0,-1.0,0.0,1.0,0.0,-1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,-1.0,1.0
Environmental Steward,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,-1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-2.0,-1.0,2.0,-1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,-1.0,1.0
Green New Dealer,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,-2.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-2.0,-1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0
Fiscal Conservative,0.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,1.0,-1.0,-1.0,-2.0,1.0,-1.0,-2.0,-2.0,-2.0,1.0,-2.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0,-1.0,-2.0,-2.0,1.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-2.0,-1.0,-1.0,-1.0,-2.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,1.0,-2.0
Community Builder,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,2.0,1.0,1.0,-1.0,1.0,2.0,2.0,-2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,-1.0,-1.0,0.0,1.0,-1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,1.0
Safety First,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,2.0,-2.0,-1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.0,1.0,1.0,-1.0,1.0,0.0,-2.0,0.0,-1.0,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0
Justice Reformer,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,-1.0,1.0,0.0,2.0,2.0,2.0,-2.0,1.0,2.0,1.0,-2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,-1.0,1.0
