meeting_date,youtube_video_id,speaker_label,name,text,start_ms,sequence
2024-03-18,PPGHwBeYHiw,A,"Unknown (A)","Testing, 1, 2.",148770,0
2024-03-18,PPGHwBeYHiw,B,"Unknown (B)","That's.",153950,0
2024-03-18,PPGHwBeYHiw,C,"Unknown (C)","Recording in progress.",377950,0
2024-03-18,PPGHwBeYHiw,D,"Unknown (D)","Madam City Clerk. Are we ready? We're ready. All right. Welcome everyone. Today is Monday, March 18th. It's a regular meeting of the San Rafael City Council. I'll request the City Clerk to call the roll. Councilmember Bushy.",651180,0
2024-03-18,PPGHwBeYHiw,B,"Unknown (B)",Present.,667560,1
2024-03-18,PPGHwBeYHiw,D,"Unknown (D)","Vice Mayor Hill.",668520,1
2024-03-18,PPGHwBeYHiw,E,"Unknown (E)",Present.,669520,0
2024-03-18,PPGHwBeYHiw,D,"Unknown (D)","Councilmember Kurtz.",670280,2
2024-03-18,PPGHwBeYHiw,B,"Unknown (B)",Present.,671320,2
2024-03-18,PPGHwBeYHiw,D,"Unknown (D)","Councilmember Yanen Scolati.",672200,3
2024-03-18,PPGHwBeYHiw,F,"Unknown (F)",Present.,673600,0
2024-03-18,PPGHwBeYHiw,D,"Unknown (D)","Mayor Kate. Present. All five of us are here this evening.",673960,4
2024-03-18,PPGHwBeYHiw,B,"Unknown (B)",Welcome.,677560,3
2024-03-18,PPGHwBeYHiw,D,"Unknown (D)","Whether you're here in the chambers or watching virtually, we are glad you're here. We have a short agenda, but it's small and mighty. So really appreciate the input we've already received and look forward to more conversation tonight. As part of my opening remarks, we like to include a land acknowledgement in addition to the statement. The city collaborates with the tribe over our shared issues. We thank the original caretakers of this land. San Rafael is traditionally home to the Coast Miwok people, many of whom today are tribal citizens of the Federated Indians of Great Rancheria. We honor their continuing involvement in stewardship practices that benefit us all. Before we get started, also, I want to thank the staff who make the city run so beautifully every single day. And it feels different now that the sun is out. I don't know, I mean, before, like at dpw, we were feeling, oh, but now DPW is dealing with weed. So we get it, so be patient. But thank you for the folks that are both out on our streets and in City hall and all our facilities helping make the city go so beautifully. So with that, we will get right to our agenda and I'll invite the City Clerk to share how people can participate this evening. Thank you, Mayor Kate.",678040,5
2024-03-18,PPGHwBeYHiw,C,"Unknown (C)","Tonight's meeting is being recorded and streamed.",750150,1
2024-03-18,PPGHwBeYHiw,D,"Unknown (D)","Live to YouTube for members of the public wishing to provide public comment displayed on the podium. And the projector is a timer to.",752110,6
2024-03-18,PPGHwBeYHiw,C,"Unknown (C)","Help you stay within your two minute time frame.",758910,2
2024-03-18,PPGHwBeYHiw,D,"Unknown (D)","You're invited, though not required, to introduce yourself and say what part of Centerfell you live in, or if you're from outside of Centerfell. We do offer closed captioning for this.",760950,7
2024-03-18,PPGHwBeYHiw,C,"Unknown (C)","Evening'S meeting on Zoom and you can.",769390,3
2024-03-18,PPGHwBeYHiw,D,"Unknown (D)","Select the live transcript button to enable that feature. If you're experiencing any technical difficulties, you can email me at city.clethityofcenterfell.org thank you. Thank you very much. We'll start with our council member and city manager reports. But first we'll start with the city manager. I'll turn it to you. Good evening, Mayor, council members and the community.",771350,8
2024-03-18,PPGHwBeYHiw,B,"Unknown (B)","I just have a few announcements tonight. This Wednesday the 20th is the next.",791920,4
2024-03-18,PPGHwBeYHiw,D,"Unknown (D)","Police Advisory and Accountability Committee meeting. I think this is the first fourth.",796440,9
2024-03-18,PPGHwBeYHiw,B,"Unknown (B)","Convening of that meeting looking at Assistant City Manager Angela.",801120,5
2024-03-18,PPGHwBeYHiw,D,"Unknown (D)","You can participate by providing public comment in person or watch the meeting via Zoom. You can send written or email comments to the email, which is Pack PA City of San Rafael.org up to 4 o' clock of the meeting day.",805160,10
2024-03-18,PPGHwBeYHiw,C,"Unknown (C)","Also, just an announcement about Smart.",820520,4
2024-03-18,PPGHwBeYHiw,D,"Unknown (D)","Starting April 1st, there's a pilot going on for youth ages 18 and under and over 65.",822840,11
2024-03-18,PPGHwBeYHiw,G,"Unknown (G)","Folks will enjoy Fair Re Fair free rides on Smart.",831020,0
2024-03-18,PPGHwBeYHiw,D,"Unknown (D)","That's a pilot that will be effective until June 30th, 2025 to try to incentivize more folks to ride the train in those age groups. We're going to hear in a few more minutes about a San Rafael famous explorer, Louise A. Boyd. But I wanted just to mention that.",836700,12
2024-03-18,PPGHwBeYHiw,G,"Unknown (G)","There is exhibit at the Boyd Gatehouse.",853780,1
2024-03-18,PPGHwBeYHiw,D,"Unknown (D)","This weekend that open that's called Petals and Ice. The exhibit hours are 10 to 2 Wednesday through Friday and Saturday from 11 to 3. And her story is quite remarkable.",856100,13
2024-03-18,PPGHwBeYHiw,C,"Unknown (C)","So we're going to hear more about.",867030,5
2024-03-18,PPGHwBeYHiw,D,"Unknown (D)","That in a few moments. Thank you so much. And I will turn to my colleagues. I'll start with the vice mayor. Vice Mayor Hill thank you, Mary Kate.",868030,14
2024-03-18,PPGHwBeYHiw,E,"Unknown (E)","I have two meetings to report out this evening. One was on Friday, March 8, the Economic Development Department subcommittee meeting. We were able to review the GO program overview and materials. And the short short of that is that the city is here to help businesses, both those that are here and those that we would like to have in our city. So thank you Director Hinkle, for ensuring that we have a plan in place to invite everybody to stay and come. Also at the meeting we talked about the progress of the economic development strategic plan for the 2024 activities as well as the Storefront activation pilot program. Upcoming meetings or upcoming events rather for the Business Improvement District include the Art Walk every Friday, every second Friday I should say. Next one coming up is April 12th. Community should definitely come and and partake. Also, the downtown clean and green day on Earth Day is April 22nd in May. Madness not to be missed is on May 11th. Also last Friday, joined by Council Member Kurtz, I visited the Glenwood Elementary School as a guest reader. I got to read to four classrooms, second graders and third graders. I can say that I am inspired by our next generation of leaders. Also there was Captain Leon and that's my report.",877070,1
2024-03-18,PPGHwBeYHiw,D,"Unknown (D)","Thank you Council Member Kurtz.",960630,15
2024-03-18,PPGHwBeYHiw,B,"Unknown (B)",Sure.,964070,6
2024-03-18,PPGHwBeYHiw,G,"Unknown (G)","So in addition to reading at Glenwood, which was really fun, I had 5th graders which are bursting to get out of elementary and move on. I also was able to visit San Pedro School and see the new mural and to read in a couple of their classes, which was fun. I also attended the Marin center for Independent Living open house for caregivers. This is really focused on thanking caregivers as well as recruiting new caregivers because there's a very high need in our community.",964710,2
2024-03-18,PPGHwBeYHiw,B,"Unknown (B)","That's it.",994210,7
2024-03-18,PPGHwBeYHiw,D,"Unknown (D)","Thank you, Council Member Bushy.",995890,16
2024-03-18,PPGHwBeYHiw,B,"Unknown (B)","I attended the board meeting of the Central Marine Sanitation Agency where we approved the expansion of our lab staff to add one additional staffer. The lab duties are expanding at our wastewater treatment plant in response to public health requests, so we are staffing up for that. We also prove some routine maintenance matters which are all important to keep those processes working. Today I attended not one but two meetings associated with the Point San Pedro Road Coalition. The first, along with Mayor Cade, was these Point San Pedro Road Coalition's Roadway Committee where we discussed the long going and multi chaptered process of trying to control speeding on Point San Pedro Road. There were references to a particular classic rock song about not being able to drive a certain speed limit. That notwithstanding, it was in fact a very productive meeting thanks to our Department of Public Works who had an innovative idea that has not been previously tried on with my neighbors. So we shall see how that unfolds. And then after that I met with the UNLOCK loan oversight on the committee. We are making great progress. The good news is that all of the residential development should be completed by June of this year. You know, depending on how you count. It's either been 20 or 25 years since we started talking about that. So this is a big culmination of getting that part of the development done on the sort of not so good part. Some of the improvements, particularly the, the playground, have not been completed and the developer responsible for that has not been responsive. So we may, we're investigating other ways to persuade them to step up and complete that. The best thing I did last week though was my second favorite thing in the year. The first of course is the lighted boat parade when we get to ride on the boat. But the public service award decision making meeting was last week very ably convened by our city clerk and a very good decision was made which will be made public at a later date that completes my report.",999890,8
2024-03-18,PPGHwBeYHiw,D,"Unknown (D)","We like that cliffhanger. Thank you Council Member Bushy. Councilmember Micah.",1140760,17
2024-03-18,PPGHwBeYHiw,F,"Unknown (F)","Yes, thank you, Mayor. I attended the East San Rafael working group and we actually had a great report from Rick Storek from the Canal Arts and he updated all the participants around the visual public art in the canal area, prospects and some other ideas. And it was always great to see everybody, including the San Rafael Chamber of Commerce CEO and president then Current Australia also attended the BPAC meeting at the Bicycle and Pedestrian Advisory Committee and with Public Works did a great job presenting and answering questions. We were discussing getting feedback about the new transit center. Also there was a little bit of revision around the Vision Zero City and it's something that is just a preview because it's going to come to our council very soon. And I was just coming back that day from visiting my son in Boulder where there was like a lot of bike and pedestrian paths and transit. So it was actually like the perfect subway into the meeting. And then I will finish by saying that last week I had the pleasure to visit Bayavista School on Wednesday and then I was reading to three classes, fourth graders in Spanish. So it was really great to be able to do that. And then on Thursday I visited San Pedro and I read to a 4 5th class and then an academy in Spanish for newcomers. So I got to practice my Spanish both days and it was so fun to hang out with the kids. So I guess that was the highlight of my week.",1145640,1
2024-03-18,PPGHwBeYHiw,D,"Unknown (D)","Thank you. Thank you. Busy times. As you all know, I've been part of the Mayoral Fellowship through the Mayor Institute on City Design through the Harvard School of Design, and we have the virtual meetings. So we had one, we had two since we last met. And they continue to bring in experts and academics and to look at planning issues through an equity lens. So we'll probably have a roll up. Maybe the final presentation is a slide deck that we'll be presenting in April. So maybe I'll talk to the city manager and present it here because we've been talking about the fellowship and being one of only eight mayors in the U.S. it's kind of cool to show what we've been working on with the highlight. I would say I did a lot of great things, but I'll have to say this one is the highlight. So we have employee of the Quarter, and that is an employee who's recognized by their peers, by other employees, and it's always an honor to recognize them. And so the, you know, the employee of the quarter for Q3, because it always has to lag, was a gentleman named Buna Sum. And he has been a custodian here in the city of san Rafael for 25 years. And his peers recognize that he had been nominated by quite a few nominees. He works at The Terra Linda Community center and pool, the Falkirk Cultural center, and various San Rafael facilities. He is known for being flexible, reliable, and a positive influence, which impresses his colleagues and also community members and customers. And community members often specifically request him at their events. He was very surprised when he received the star. So congratulations to Buna and for all the great work that you do every single day in our city. In addition, I'm your representative on the Transportation authority of Marin. Safe routes to school. We're still talking about crossing guards in the algorithm. We're refining it because there's always more demand and not enough resources. So that will be coming to the TAM board, if not this month, then next month. Very confident that the decisions that the ad hoc committee and it's gone to the executive committee, really reflect what the community wants, which is to have crossing guards where there's people crossing. I know that sounds straightforward, but we want to make sure that lines up with the data we're receiving. In addition, we have. I went to the giving Marin Independent Journal awards, and that's where they recognize and give out awards to fantastic nonprofits in our community. And one of them went to the director of Slide Ranch, who happens to be sitting next to me. Micah is also in her day job, the director of Slyde Ranch. So it was really fun. And council member Kurtz was there with me as well. We applauded very loudly. The economic development subcommittee, Vice mayor Hill talked about two fantastic weekend events. One was in the canal with Boses, the canal and Flock Safety. Flock Safety are the providers for the license plate reader cameras, and they have a community event program. And we were the first one that they had this community event. And there was a room full of kids doing an art project. And there were awards that were given at the end of it. But I have to say they started out with four or five tables, and the folks are. The staff had to keep bringing in tables. By the time the thing ended, there was not a place to walk in there. There was so much enthusiasm by the community. And we really appreciate that Flock Safety understands the importance of community and community engagement in our community. It was such a great event, and it wouldn't have happened if VOSIS hadn't been our community partner in it. And then another fantastic weekend event, the 90th birthday party that we held at B Street. Just so you know, it used to be 85 and up, but there were so many people that we had to go to 90. And even then it was capped at, I think, 150 people. A big Shout out to the age friendly community group who helped put it on, as well as the Golden Heirs. It was very well attended. I said a few words. There was some bingo playing, some food eating. And I can just say that if that is what 90 looks like in San Rafael, sign me up this. These folks were engaged and it was a fantastic party. So as always, lots going on. Thank you to my colleagues for what you do between our council meetings and our work on the dais. Before we go to the consent agenda, I'll take any comments from the public on either the city manager and or the council member reports. Now would be your time. Not seeing anyone. I'll close the public comment and go to the consent agenda.",1240300,18
2024-03-18,PPGHwBeYHiw,B,"Unknown (B)",Oh.,1520260,9
2024-03-18,PPGHwBeYHiw,D,"Unknown (D)","So, okay, so this is comment on specifically the reports that you just heard. Oh, no, no worries, no worries. The open time will be at the end of the meeting. Thank you. And I got your card. I got you. Okay. Consent agenda. Any items like to be held on the consent agenda? Not seeing any. Are there any members of the public that would like to comment on the consent agenda? This is items 4A through D. Oh, hi, Amy. Welcome. And if you could just tell us what item you're commenting on so we can follow along. Yeah, it doesn't sound like that's on.",1522660,19
2024-03-18,PPGHwBeYHiw,B,"Unknown (B)","There you go.",1578630,10
2024-03-18,PPGHwBeYHiw,D,"Unknown (D)","Yes. So there we go. So which item, which item are you commenting on first?",1581430,20
2024-03-18,PPGHwBeYHiw,H,"Unknown (H)","Let me identify myself. My name is Amy Le Cofer. I am here on behalf of San Rafael Heritage to comment on the Louise Boyd item.",1588590,0
2024-03-18,PPGHwBeYHiw,D,"Unknown (D)","Okay. That will be the next item. So you can comment now, of course, or you can wait till we get to that agenda. I thought it was.",1597300,21
2024-03-18,PPGHwBeYHiw,H,"Unknown (H)","Any items on the consent calendar?",1602780,1
2024-03-18,PPGHwBeYHiw,D,"Unknown (D)","No. So that's not consent. I'm actually going to read the proclamation, so.",1604620,22
