"client","api"
"a2gov",TRUE
"actransit",TRUE
"adcogov",TRUE
"alameda",TRUE
"albemarle",FALSE
"alexandria",TRUE
"alleghenycounty",FALSE
"allentownpa",FALSE
"annapolismd",FALSE
"apachejunction",FALSE
"arapahoe",TRUE
"ashecounty",FALSE
"austintexas",TRUE
"baldwincountyal",TRUE
"baltimore",TRUE
"barrie",FALSE
"bart",TRUE
"bellevue",FALSE
"boerne",TRUE
"boston",TRUE
"brazoriacountytx",TRUE
"brevardfl",TRUE
"brokenarrow",FALSE
"cabq",TRUE
"campo",FALSE
"canton",FALSE
"capmetrotx",TRUE
"carrboro",FALSE
"carrolltontx",TRUE
"carson",FALSE
"castlerock-co",FALSE
"chapelhill",TRUE
"charlottenc",TRUE
"chathamnc",TRUE
"cherokee",FALSE
"chicago",TRUE
"chicagoparkdistrict",FALSE
"chino",TRUE
"chulavista",TRUE
"cincinnatioh",FALSE
"cityfortbragg",TRUE
"cityofappleton",FALSE
"cityofbrookings",FALSE
"cityofcleveland",TRUE
"cityofcommerce",FALSE
"cityofdallas",TRUE
"cityofdeerpark",FALSE
"cityoflacrosse",TRUE
"cityoflaredo",TRUE
"cityoflewisville",TRUE
"cityofmerced",FALSE
"cityofnorthport",TRUE
"cityoforange",TRUE
"cityofracine",TRUE
"cityofseguintx",FALSE
"cityofsignalhill",TRUE
"cityoftacoma",FALSE
"claremontca",TRUE
"clark",TRUE
"clearwater",FALSE
"cmap",TRUE
"cobergennj",FALSE
"cocoa",FALSE
"coconutcreek",FALSE
"coloradosprings",FALSE
"columbus",TRUE
"commerce",FALSE
"concordnh",FALSE
"contra-costa",TRUE
"cook-county",TRUE
"coppell",FALSE
"coralgables",TRUE
"corona",FALSE
"corpuschristi",TRUE
"costamesa",TRUE
"countyofkane",TRUE
"countyoflake",FALSE
"culver-city",TRUE
"cupertino",TRUE
"dane",TRUE
"dekalbcountyga",FALSE
"deltona",FALSE
"denton-tx",TRUE
"denver",TRUE
"douglascounty",TRUE
"duluth-mn",FALSE
"dupage",TRUE
"durhamcounty",FALSE
"dwsd",FALSE
"easternband",FALSE
"eldorado",FALSE
"elpasotexas",TRUE
"emeryville",FALSE
"erie",TRUE
"farmersbranch",TRUE
"fortlauderdale",FALSE
"fortworthgov",TRUE
"fpdcc",FALSE
"franklintn",FALSE
"fresno",TRUE
"fresnocounty",TRUE
"fulton",TRUE
"gahanna",FALSE
"gainesville",FALSE
"galvestoncountytx",TRUE
"gaston",TRUE
"geneseecountymi",TRUE
"glwater",FALSE
"gocolumbiamo",TRUE
"goleta",FALSE
"goodyear",FALSE
"guilford",TRUE
"hallandalebeach",FALSE
"hampton",FALSE
"harriscountytx",TRUE
"harrisonburg-va",TRUE
"harrisoncounty",FALSE
"hayward",TRUE
"hennepinmn",TRUE
"hermosabeach",FALSE
"hernandocountyfl",TRUE
"hernandoschools",TRUE
"hesperia",FALSE
"highpoint",FALSE
"hillsboroughcounty",TRUE
"hollywoodfl",TRUE
"houstonisd",TRUE
"hudson",TRUE
"humboldt",FALSE
"huntingtonbeach",TRUE
"huntsvilleal",TRUE
"hyattsville-md",TRUE
"idahofalls",TRUE
"ircgov",TRUE
"jacksonco",FALSE
"jaxcityc",TRUE
"jcc",TRUE
"joliet",TRUE
"jonesboro",TRUE
"kansascity",TRUE
"keywest",FALSE
"killeen",FALSE
"kingcounty",TRUE
"kpb",FALSE
"lacdrp",TRUE
"lackawanna",FALSE
"lakecounty",TRUE
"lakehavasucity",FALSE
"laramiecounty",TRUE
"lassen",FALSE
"lawtonok",TRUE
"leaguecity",FALSE
"ledyardct",TRUE
"lexington",TRUE
"littletongov",FALSE
"lombard",FALSE
"longbeach",TRUE
"losalamos",TRUE
"lossan",FALSE
"louisville",TRUE
"lsmo",TRUE
"lubbockcounty",TRUE
"madison",TRUE
"manhattanbeach",TRUE
"mansfield",TRUE
"marcoisland",FALSE
"margatefl",FALSE
"maricopa",TRUE
"marionfl",TRUE
"martin",TRUE
"mauicounty",TRUE
"mecklenburg",TRUE
"mesa",TRUE
"mesquite",FALSE
"metro",TRUE
"milwaukee",TRUE
"milwaukeecounty",TRUE
"minnesotapuc",FALSE
"miramar",FALSE
"mmsd",FALSE
"monterey",TRUE
"mtc",TRUE
"murrieta",TRUE
"mwdh2o",TRUE
"mwrd",FALSE
"mysanibel",TRUE
"napa",TRUE
"napacity",FALSE
"naperville",TRUE
"nashville",TRUE
"nevco",FALSE
"newark",TRUE
"newbraunfels",FALSE
"newhaven-ct",FALSE
"newportbeach",TRUE
"northfield",FALSE
"nrhtx",TRUE
"nyc",FALSE
"oak-park",TRUE
"oakland",TRUE
"ocala",TRUE
"occompt",FALSE
"octa",TRUE
"oklahomacounty",TRUE
"olatheks",TRUE
"olympia",TRUE
"oregonmetro",TRUE
"orlandpark",FALSE
"ousd",TRUE
"paradisevalleyaz",FALSE
"pensacola",TRUE
"peoriail",TRUE
"pflugerville",TRUE
"phila",FALSE
"phoenix",TRUE
"pima",FALSE
"pinellas",TRUE
"pinellaspark",FALSE
"pittsburgh",TRUE
"polkcountyfl",TRUE
"pomona",FALSE
"pompano",FALSE
"portofoakland",TRUE
"portofsandiego",FALSE
"powd",FALSE
"ppines",FALSE
"princegeorgescountymd",TRUE
"psl",TRUE
"ramseycountymn",TRUE
"redmond",TRUE
"redondo",TRUE
"rialto",FALSE
"richmondva",TRUE
"riversideca",TRUE
"roch",FALSE
"romeoville",FALSE
"roundrock",FALSE
"rutherfordcountync",FALSE
"salinas",TRUE
"sanantonio",TRUE
"sanbernardino",TRUE
"sandyutah",FALSE
"sanjose",TRUE
"sanleandro",TRUE
"sanmateocounty",TRUE
"sanpablo",FALSE
"santabarbara",TRUE
"santaclara",TRUE
"sbcera",TRUE
"scvwd",TRUE
"sdcounty",TRUE
"seattle",TRUE
"seminolecountyfl",TRUE
"sfgov",TRUE
"sitka",FALSE
"sjrs",FALSE
"slco",TRUE
"smyrnacity",FALSE
"snohomish",TRUE
"solano",FALSE
"somervillema",TRUE
"sonoma-county",TRUE
"stcharlesgov",TRUE
"stockton",TRUE
"stpaul",FALSE
"sullivancountyny",TRUE
"sunnyvaleca",TRUE
"tehamacounty",TRUE
"temeculaca",TRUE
"toledo",TRUE
"unioncountync",TRUE
"uptexas",FALSE
"valdez",FALSE
"venice",TRUE
"vicksburg-ms",FALSE
"visalia",TRUE
"wake",TRUE
"washoe-nv",TRUE
"waukesha",TRUE
"wellington",FALSE
"westalliswi",TRUE
"westchestercountyny",TRUE
"westchestercountynyexec",TRUE
"whatcom",TRUE
"windhamweb",FALSE
"winston-salem",FALSE
